time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.03630377304100262, 0.02166666666666667, 0.055352355912251586, 0.0003162991766414373, 0.1669703748440148, 20, 4, 0, 1, 0, 29, 11, 20, 3, 0
100.0, 38.21995187040548, 21.68705404206617, 55.40770826816248, 0.31661547581808364, 158.70680218736618, 19, 5, 1, 0, 0, 44, 5, 9, 5, 0
200.0, 78.10589705948817, 43.35394783981578, 110.76006418041067, 0.6329146524595272, 300.403909465376, 22, 3, 0, 0, 0, 52, 1, 3, 6, 1
300.0, 118.15022038465435, 65.02102633871095, 166.11242009265885, 0.9492138291009707, 425.2584632611747, 23, 2, 0, 0, 0, 54, 2, 2, 4, 1
400.0, 154.98674486221242, 86.68778806728402, 221.46477600490704, 1.2655130057424142, 533.270170130549, 23, 2, 0, 0, 0, 56, 1, 5, 1, 0
500.0, 187.21976518165874, 108.35469696970391, 276.8171319171552, 1.5818121823838578, 624.4391097074475, 25, 0, 0, 0, 0, 58, 4, 0, 1, 0
600.0, 213.5210131647186, 130.0216666666752, 332.1694878294034, 1.8981113590253014, 698.7653994671892, 25, 0, 0, 0, 0, 62, 0, 0, 1, 0
700.0, 232.6469272073907, 151.68833333334348, 379.8045494025522, 2.1507752836095273, 756.9477546229803, 25, 0, 0, 0, 0, 62, 0, 0, 1, 0
800.0, 248.7027770525308, 173.35500000001173, 411.62159473691065, 2.2780424908703596, 807.5246910792259, 25, 0, 0, 0, 0, 62, 0, 1, 0, 0
900.0, 262.9354736034965, 195.02166666668, 442.9852733341932, 2.403481117948481, 853.106923252348, 25, 0, 0, 0, 0, 62, 1, 0, 0, 0
1000.0, 275.26771931732196, 216.68833333334683, 473.277601065869, 2.524635184559257, 894.107089296619, 25, 0, 0, 0, 0, 62, 1, 0, 0, 0
1100.0, 285.7526949674694, 238.35500000001161, 502.76478236254366, 2.642574467280927, 931.0165084740224, 25, 0, 0, 0, 0, 63, 0, 0, 0, 0
1200.0, 294.4413962298229, 260.02166666667637, 531.8238704724337, 2.758806074331704, 964.1366684516595, 25, 0, 0, 0, 0, 63, 0, 0, 0, 0
