time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.08059004547880454, 0.0694893387253814, 0.055352355912251586, 0.0003162991766414373, 0.5244814207205097, 10, 2, 0, 0, 18, 28, 0, 0, 0, 52
100.0, 80.61031720505457, 75.6431101474101, 55.40770826816248, 0.31661547581808364, 530.1826582341897, 7, 3, 1, 0, 19, 23, 2, 0, 1, 54
200.0, 161.42205869557364, 152.430419220687, 110.76006418041067, 0.6329146524595272, 1070.0287171567388, 5, 2, 2, 0, 21, 20, 1, 0, 1, 58
300.0, 242.52927869948627, 228.79087033646695, 166.11242009265885, 0.9492138291009707, 1620.7094959700669, 5, 2, 0, 2, 21, 20, 0, 0, 0, 60
400.0, 323.8938306217348, 300.95813194753055, 221.46477600490704, 1.2655130057424142, 2180.936632114367, 4, 2, 0, 2, 22, 17, 2, 0, 0, 61
500.0, 405.5358768340422, 371.5840139760853, 276.8171319171552, 1.5818121823838578, 2748.991588163061, 4, 1, 1, 2, 22, 14, 5, 0, 0, 61
600.0, 487.4853915041573, 442.09482396389285, 332.1694878294034, 1.8981113590253014, 3324.639979389595, 4, 1, 0, 3, 22, 14, 1, 2, 0, 63
700.0, 569.7411428395106, 512.5631241562155, 387.5218437416516, 2.2144105356667447, 3907.8740309370114, 3, 2, 0, 3, 22, 13, 1, 2, 1, 63
800.0, 652.2891162106549, 581.2011555058491, 442.8741996538998, 2.5307097123081883, 4498.279530728861, 3, 2, 0, 2, 23, 13, 1, 0, 3, 63
900.0, 735.1164123522246, 648.1715075826936, 498.22655556614797, 2.847008888949632, 5094.950726600794, 2, 2, 0, 2, 24, 12, 0, 1, 2, 65
1000.0, 818.215109345527, 713.4683566374426, 553.5789114784388, 3.1633080655910755, 5696.92479557587, 2, 1, 1, 2, 24, 12, 0, 1, 1, 66
1100.0, 901.5778099837239, 778.140170506516, 608.9312673907439, 3.479607242232519, 6303.688088651503, 2, 1, 1, 2, 24, 12, 0, 0, 1, 67
1200.0, 985.2021735362073, 842.5298127324065, 664.2836233030489, 3.7959064188739626, 6915.03785715898, 2, 1, 1, 2, 24, 12, 0, 0, 1, 67
1300.0, 1069.0871120195725, 906.7693722184866, 719.6359792153539, 4.112205595515406, 7530.863091189476, 2, 1, 1, 2, 24, 12, 0, 0, 1, 67
1400.0, 1153.2321171976168, 970.9359631494018, 774.988335127659, 4.42850477215685, 8151.112089003172, 2, 1, 1, 2, 24, 12, 0, 0, 0, 68
1500.0, 1237.6369241438108, 1035.0669631926369, 830.340691039964, 4.744803948798293, 8775.758087963553, 2, 1, 1, 2, 24, 12, 0, 0, 0, 68
1600.0, 1322.3007062211934, 1099.1805952547827, 885.693046952269, 5.061103125439737, 9404.788578279524, 2, 1, 1, 2, 24, 12, 0, 0, 0, 68
1700.0, 1407.2256154316908, 1163.2858812936236, 941.045402864574, 5.3774023020811805, 10038.197404035187, 2, 1, 1, 2, 24, 12, 0, 0, 0, 68
1800.0, 1492.414093914245, 1227.384932368011, 996.3977587768791, 5.693701478722624, 10675.98104171428, 2, 1, 1, 2, 24, 12, 0, 0, 0, 68
1860.0, 1543.5690044746727, 1265.7736135278628, 1029.5538199683383, 5.883164685530849, 11060.106512879407, 2, 1, 1, 2, 24, 11, 1, 0, 0, 68
