time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0,0.0364703485618359,0.08125000000000002,0.0553523559122515,0.00031629917664140005,0.1669703748440148,20.0,4.0,0.0,1.0,0.0,29.0,11.0,20.0,3.0,0.0
100.0,39.312120461466456,81.30776133271655,55.40770826816248,0.31661547581808364,173.60687034872882,18.0,4.8,1.6,0.6,0.0,37.4,7.1,4.2,7.4,6.9
200.0,82.47155773905845,162.5564827650897,110.7600641804107,0.632914652459527,359.9949998998224,17.1,4.1,3.7,0.1,0.0,37.9,6.0,0.3,7.6,11.2
300.0,127.4924081258506,243.79550034691118,166.11242009265882,0.9492138291009711,559.3283521450037,18.0,3.0,3.5,0.5,0.0,38.5,5.1,0.6,5.1,13.7
400.0,173.60913569208347,325.0133016389217,221.46477600490704,1.2655130057424144,771.6046897156353,18.3,2.4,2.7,1.4,0.2,40.0,3.0,0.7,2.5,16.8
500.0,219.60605138170567,405.29330019098757,276.8171319171552,1.581812182383858,996.6231410765935,18.1,1.7,3.7,1.2,0.3,39.2,3.1,1.3,2.1,17.3
600.0,265.24783557545237,484.33944870150015,332.1694878294034,1.8981113590253007,1233.8076751216258,17.5,1.9,3.7,1.6,0.3,38.9,2.3,1.3,1.8,18.7
700.0,311.17106057590956,561.4605024644201,387.5218437416516,2.2144105356667443,1482.3595631562653,13.7,3.6,3.5,1.9,2.3,34.7,4.5,0.7,1.6,21.5
800.0,358.764835551768,637.800936628443,442.87419965389984,2.530709712308188,1741.5780055159848,13.4,2.3,4.5,1.9,2.9,34.0,2.8,2.1,2.1,22.0
900.0,408.14245912048636,712.7763211475615,498.226555566148,2.8470088889496314,2010.9747242676451,13.1,1.4,3.2,3.7,3.6,32.2,1.5,1.3,5.1,22.9
1000.0,459.2852783770609,786.6826488161234,553.5789114784387,3.163308065591075,2289.9029318290004,12.7,1.0,4.0,3.3,4.0,32.1,1.4,0.2,3.8,25.5
1100.0,512.2445033671416,859.4189322492542,608.931267390744,3.479607242232519,2577.7978520058305,12.5,1.1,4.1,1.3,6.0,32.0,1.2,0.4,1.1,28.3
1200.0,567.1050643267583,931.5706466510076,664.2836233030488,3.7959064188739626,2874.2177742993686,12.2,1.1,4.3,1.4,6.0,31.8,1.3,0.1,0.6,29.2
1300.0,623.9323141628,1003.3560497931979,719.635979215354,4.112205595515406,3178.9494434430126,11.1,2.0,4.5,1.4,6.0,30.8,2.0,0.3,0.3,29.6
1400.0,682.8449641075049,1074.81951982878,774.9883351276588,4.42850477215685,3491.807740453961,11.1,1.1,4.9,1.9,6.0,30.7,1.1,1.0,0.5,29.7
1500.0,743.9294377430073,1146.0807220259242,830.3406910399642,4.744803948798293,3812.6686680970633,11.0,1.2,3.3,3.5,6.0,30.6,1.0,0.1,1.3,30.0
1600.0,807.0588888775827,1217.1970784847479,885.6930469522688,5.061103125439737,4141.446474345213,10.9,1.3,3.0,3.6,6.2,29.7,1.0,0.4,1.5,30.4
1700.0,871.8734667429483,1288.199359102509,941.0454028645743,5.3774023020811805,4478.076788607638,10.8,1.2,1.5,4.5,7.0,28.6,1.2,0.1,0.0,33.1
1800.0,938.1235649522005,1358.7199939959294,996.3977587768792,5.693701478722624,4822.44773314762,10.6,1.4,1.5,4.5,7.0,27.6,1.1,0.1,1.1,33.1
1900.0,1005.5673693931587,1428.85754378974,1051.7501146891268,6.010000655364068,5174.268776087558,10.2,1.8,1.2,4.8,7.0,27.1,1.3,0.3,0.1,34.2
2000.0,1074.047280840102,1498.541045477579,1107.1024706013181,6.326299832005511,5533.427079206243,10.1,1.9,1.2,4.8,7.0,26.6,1.6,0.1,0.4,34.3
2100.0,1143.5163205985075,1567.4587039604423,1162.4548265135093,6.642599008646956,5899.503056920149,9.9,1.9,1.4,4.8,7.0,27.2,0.5,0.3,0.3,34.7
2200.0,1214.0311859078952,1635.8379730612291,1217.8071824257008,6.958898185288399,6272.243104237258,8.9,2.8,1.3,5.0,7.0,25.8,1.5,0.5,0.2,35.0
2300.0,1285.5140445775562,1703.4428466549427,1273.1595383378922,7.275197361929843,6651.312151147802,8.7,1.9,2.4,5.0,7.0,25.6,0.5,1.2,0.6,35.1
2400.0,1357.8995249522843,1770.6105658421482,1328.5118942500833,7.5914965385712865,7036.3886412247375,7.5,2.5,2.1,5.8,7.1,24.3,1.3,0.5,1.4,35.5
2500.0,1431.1371586595121,1837.2595789968836,1383.8642501622749,7.90779571521273,7427.251571234457,7.5,1.9,2.6,5.0,8.0,24.1,1.1,0.4,0.4,37.0
2600.0,1505.187002636046,1903.5083981067964,1439.2166060744662,8.224094891853541,7823.646828996303,7.4,1.6,2.8,5.1,8.1,23.5,1.2,0.5,0.4,37.4
2700.0,1579.9928037525174,1969.4165836259176,1494.5689619866575,8.540394068494097,8225.409755833476,7.3,1.4,2.8,5.4,8.1,23.0,1.5,0.2,0.4,37.9
2800.0,1655.5278553717192,2034.9574177570394,1549.9213178988489,8.856693245134652,8632.352799649747,7.1,1.4,2.9,5.5,8.1,23.0,1.1,0.2,0.6,38.1
2900.0,1731.8234856550148,2100.2365081642865,1605.2736738110402,9.172992421775207,9044.321847231486,7.1,1.3,2.8,5.7,8.1,22.9,1.2,0.0,0.3,38.6
3000.0,1808.86552185816,2165.2909239852943,1660.6260297232316,9.489291598415763,9461.195556622832,7.1,0.0,4.1,5.6,8.2,22.4,0.5,1.1,0.1,38.9
3100.0,1886.6055112724625,2230.151649013136,1715.978385635423,9.805590775056318,9882.872954463508,7.0,0.1,3.9,5.6,8.4,21.9,0.5,1.3,0.2,39.1
3200.0,1964.914783765243,2294.818284837681,1771.3307415476143,10.121889951696874,10309.256686612658,7.0,0.1,3.9,4.8,9.2,21.2,0.5,1.1,0.4,39.8
3300.0,2043.6006972467883,2359.137439442268,1826.6830974598056,10.438189128337429,10740.224843879656,7.0,0.0,4.0,4.5,9.5,19.9,1.4,1.3,0.2,40.2
3400.0,2122.5975783563604,2422.7639890897904,1882.035453371997,10.754488304977984,11175.510153522724,6.9,0.1,4.0,4.4,9.6,19.9,0.2,1.4,1.1,40.4
3500.0,2201.896896723602,2485.9397703447917,1937.3878092841883,11.07078748161854,11614.804286911156,6.8,0.2,3.0,5.1,9.9,19.9,0.2,0.0,1.4,41.5
3600.0,2281.480324471565,2548.872228517058,1992.7401651963805,11.387086658259095,12057.939730085973,6.8,0.2,3.0,5.1,9.9,19.6,0.3,0.2,1.2,41.7
3700.0,2361.33770582781,2611.707878399789,2048.092521108571,11.70338583489965,12504.839332367581,6.5,0.5,3.0,5.1,9.9,19.0,0.7,0.1,1.3,41.9
3800.0,2441.4576879942006,2674.4875053136357,2103.4448770209897,12.019685011540206,12955.464441369299,6.2,0.6,3.2,5.0,10.0,19.0,0.3,0.4,1.2,42.1
3900.0,2521.825984879984,2737.239893787125,2158.7972329334084,12.335984188180761,13409.796287726629,6.2,0.6,3.2,5.0,10.0,19.0,0.1,0.3,1.3,42.3
4000.0,2602.4233897796585,2799.835224847413,2214.1495888458276,12.652283364821319,13867.78815069329,6.1,0.1,3.7,5.0,10.1,18.7,0.3,0.0,1.5,42.5
4100.0,2683.2421015043924,2862.421954965151,2269.501944758246,12.968582541461874,14329.399002429893,6.0,0.1,3.8,5.0,10.1,18.2,0.7,0.1,1.1,42.9
4200.0,2764.2698111060777,2925.0033199050704,2324.8543006706645,13.28488171810243,14794.625742250772,5.0,1.1,3.8,4.0,11.1,17.0,1.9,0.0,0.1,44.0
4300.0,2845.5047173272624,2987.57499463614,2380.2066565830837,13.601180894742985,15263.464594751244,5.0,1.0,3.9,3.9,11.2,16.7,2.1,0.1,0.0,44.1
4400.0,2926.9432791369773,3050.03045818764,2435.559012495502,13.91748007138354,15735.898202225877,5.0,1.0,3.8,4.0,11.2,16.5,1.8,0.5,0.1,44.1
4500.0,3008.577434252886,3112.053665248773,2490.9113684079207,14.233779248024096,16211.784923825713,5.0,1.0,3.6,4.0,11.4,16.3,1.5,0.6,0.3,44.3
4600.0,3090.3990502565184,3173.550364656595,2546.2637243203394,14.550078424664653,16690.895959352532,5.0,1.0,3.4,4.1,11.5,15.9,1.4,0.8,0.3,44.6
