time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.036470348561835945, 0.08125, 0.055352355912251586, 0.0003162991766414373, 0.1669703748440148, 20, 4, 0, 1, 0, 29, 11, 20, 3, 0
100.0, 39.30151354740072, 81.30967287879432, 55.40770826816248, 0.31661547581808364, 173.60731100847943, 18, 5, 1, 1, 0, 38, 6, 4, 8, 7
200.0, 82.65051417572951, 162.55923142874204, 110.76006418041067, 0.6329146524595272, 359.9964540005216, 18, 3, 4, 0, 0, 38, 6, 0, 7, 12
300.0, 127.8997230715844, 243.79565069509562, 166.11242009265885, 0.9492138291009707, 559.3299008561353, 18, 3, 3, 1, 0, 39, 4, 1, 6, 13
400.0, 173.7184581661375, 325.0192776133122, 221.46477600490704, 1.2655130057424142, 771.6064072174565, 18, 3, 2, 1, 1, 40, 2, 1, 2, 18
500.0, 219.44037337716887, 405.3665996558932, 276.8171319171552, 1.5818121823838578, 996.644297736326, 18, 2, 4, 1, 0, 40, 3, 1, 2, 17
600.0, 265.09198006397, 484.7023024715772, 332.1694878294034, 1.8981113590253014, 1233.9130017884122, 18, 2, 3, 2, 0, 40, 2, 1, 2, 18
700.0, 311.90503648633234, 562.4839601526105, 387.5218437416516, 2.2144105356667447, 1482.8117002446706, 13, 4, 5, 2, 1, 34, 5, 2, 2, 20
800.0, 360.7609317429409, 639.6582012728666, 442.8741996538998, 2.5307097123081883, 1742.757289490944, 14, 3, 4, 1, 3, 35, 3, 1, 3, 21
900.0, 411.52536072666356, 714.7487784351546, 498.22655556614797, 2.847008888949632, 2013.0911904410546, 13, 2, 3, 3, 4, 33, 1, 1, 5, 23
1000.0, 464.2024299270524, 788.8055175747863, 553.5789114784388, 3.1633080655910755, 2293.056788482567, 12, 2, 4, 3, 4, 33, 1, 0, 4, 25
1100.0, 518.9545033246909, 861.5706658554188, 608.9312673907439, 3.479607242232519, 2582.01579575792, 12, 2, 4, 1, 6, 33, 1, 0, 1, 28
1200.0, 576.0279623773794, 933.7448753185621, 664.2836233030489, 3.7959064188739626, 2879.519112376133, 12, 2, 4, 1, 6, 33, 1, 0, 0, 29
1300.0, 635.5201442730927, 1005.5632626090517, 719.6359792153539, 4.112205595515406, 3185.34515424751, 11, 3, 4, 1, 6, 32, 2, 0, 0, 29
1400.0, 697.474991996708, 1077.0485437224345, 774.988335127659, 4.42850477215685, 3499.3130399523975, 11, 2, 5, 1, 6, 32, 1, 1, 0, 29
1500.0, 761.9268451483244, 1148.3447327550211, 830.340691039964, 4.744803948798293, 3821.295684296806, 11, 2, 4, 2, 6, 32, 1, 0, 1, 29
1600.0, 828.5041093111951, 1219.5138339046434, 885.693046952269, 5.061103125439737, 4151.217952557112, 11, 2, 3, 3, 6, 31, 1, 1, 1, 29
1700.0, 896.3329952900075, 1290.5870002410802, 941.045402864574, 5.3774023020811805, 4489.023788964532, 10, 3, 1, 4, 7, 29, 1, 1, 0, 32
1800.0, 965.2811286617691, 1361.208609332865, 996.3977587768791, 5.693701478722624, 4834.612406873206, 10, 3, 1, 4, 7, 27, 2, 0, 2, 32
1900.0, 1035.2827083932248, 1431.4687202580071, 1051.750114689127, 6.010000655364068, 5187.707915063027, 10, 3, 1, 4, 7, 27, 1, 1, 0, 34
2000.0, 1106.3402118043582, 1501.2468012188278, 1107.1024706013184, 6.326299832005511, 5548.201963527613, 10, 3, 1, 4, 7, 27, 1, 0, 1, 34
2100.0, 1178.4737580011224, 1570.2189831479984, 1162.4548265135097, 6.642599008646955, 5915.643991476883, 10, 2, 2, 4, 7, 27, 1, 0, 0, 35
2200.0, 1251.6985522871378, 1638.6066866058782, 1217.807182425701, 6.958898185288398, 6289.767297053475, 9, 2, 3, 4, 7, 26, 2, 0, 0, 35
2300.0, 1325.9610478468333, 1706.1503453747189, 1273.1595383378924, 7.275197361929842, 6670.207319664742, 9, 0, 5, 4, 7, 26, 1, 1, 0, 35
2400.0, 1401.0913187723243, 1773.2265591869148, 1328.5118942500837, 7.591496538571286, 7056.616646975233, 8, 1, 4, 5, 7, 24, 1, 2, 1, 35
2500.0, 1477.0812747421362, 1839.7741156197746, 1383.864250162275, 7.907795715212729, 7448.761165116591, 8, 1, 3, 5, 8, 24, 1, 1, 0, 37
2600.0, 1553.8867675903543, 1905.927477151582, 1439.2166060744664, 8.224094891853543, 7846.389480862577, 8, 1, 3, 4, 9, 23, 1, 0, 1, 38
2700.0, 1631.2117444281234, 1971.6558946526877, 1494.5689619866578, 8.540394068494098, 8249.33376903106, 8, 1, 3, 4, 9, 23, 1, 0, 1, 38
2800.0, 1708.9653171969114, 2036.3809156353454, 1549.921317898849, 8.856693245134654, 8657.234156656818, 8, 1, 3, 4, 9, 23, 1, 0, 1, 38
2900.0, 1787.119217456616, 2100.3090150972375, 1605.2736738110405, 9.17299242177521, 9069.584129125293, 8, 1, 3, 4, 9, 22, 2, 0, 0, 39
3000.0, 1865.5691959503413, 2163.7548711620248, 1660.6260297232318, 9.489291598415765, 9486.09807887471, 8, 0, 4, 4, 9, 22, 1, 1, 0, 39
3100.0, 1944.2799346617974, 2226.9437850085937, 1715.9783856354231, 9.80559077505632, 9906.59003422616, 8, 0, 3, 4, 10, 22, 0, 2, 0, 39
3200.0, 2023.2495957939823, 2289.9446874869677, 1771.3307415476145, 10.121889951696875, 10330.94981226676, 8, 0, 3, 4, 10, 22, 0, 1, 1, 39
3300.0, 2102.4791159712513, 2352.8326107408134, 1826.6830974598058, 10.43818912833743, 10759.103710686235, 8, 0, 3, 4, 10, 21, 1, 1, 0, 40
3400.0, 2181.9660389193436, 2415.652792344559, 1882.0354533719972, 10.754488304977986, 11191.006793717068, 8, 0, 3, 4, 10, 21, 0, 1, 1, 40
3500.0, 2261.709192046274, 2478.4304837003983, 1937.3878092841885, 11.070787481618542, 11626.632478407793, 8, 0, 2, 5, 10, 21, 0, 0, 1, 41
3600.0, 2341.7088510064777, 2541.184214188718, 1992.7401651963798, 11.387086658259097, 12065.9641662021, 8, 0, 2, 5, 10, 21, 0, 0, 1, 41
3700.0, 2421.9603686484447, 2603.9237151840694, 2048.0925211085714, 11.703385834899652, 12508.992697460744, 8, 0, 2, 5, 10, 20, 1, 0, 1, 41
3800.0, 2502.4212763369405, 2666.6561729549885, 2103.44487702099, 12.019685011540208, 12955.712777172039, 8, 0, 2, 5, 10, 20, 1, 0, 1, 41
3900.0, 2583.066974102166, 2729.385559990975, 2158.797232933409, 12.335984188180763, 13406.122024359947, 8, 0, 2, 5, 10, 20, 1, 0, 1, 41
4000.0, 2663.8625775612895, 2792.114559946547, 2214.1495888458276, 12.652283364821319, 13860.21959234086, 8, 0, 2, 5, 10, 20, 1, 0, 1, 41
4100.0, 2744.8437898410693, 2854.8447310200986, 2269.5019447582463, 12.968582541461874, 14318.005732713797, 7, 1, 2, 5, 10, 19, 1, 1, 1, 41
4200.0, 2826.0100989569587, 2917.576993676464, 2324.854300670665, 13.28488171810243, 14779.48127144686, 6, 2, 2, 4, 11, 18, 2, 0, 1, 42
4300.0, 2907.360678631885, 2980.311865002898, 2380.2066565830837, 13.601180894742985, 15244.64740409563, 6, 1, 3, 4, 11, 18, 1, 1, 0, 43
4400.0, 2988.8907922608196, 3041.902870996373, 2435.5590124955024, 13.91748007138354, 15713.36332039531, 6, 1, 2, 5, 11, 17, 1, 1, 1, 43
4500.0, 3070.567720469749, 3102.162358377612, 2490.911368407921, 14.233779248024096, 16184.736129024406, 6, 1, 2, 4, 12, 17, 1, 1, 0, 44
4600.0, 3152.385397515692, 3162.0588469942877, 2546.26372432034, 14.550078424664651, 16658.482762265598, 6, 1, 2, 4, 12, 17, 1, 1, 0, 44
4700.0, 3234.384903789574, 3221.629781533265, 2601.6160802327586, 14.866377601305206, 17134.40006234338, 6, 1, 2, 4, 12, 17, 1, 0, 1, 44
4800.0, 3316.575546286306, 3281.0464097188933, 2656.9684361451773, 15.182676777945762, 17612.389210852307, 6, 1, 1, 5, 12, 16, 2, 0, 1, 44
4900.0, 3398.957288268444, 3340.333170246118, 2712.320792057596, 15.498975954586317, 18092.373024245157, 5, 2, 1, 5, 12, 16, 2, 0, 1, 44
5000.0, 3481.5304206465926, 3399.5553328709443, 2767.6731479700147, 15.815275131226873, 18574.307596722138, 5, 2, 1, 5, 12, 16, 1, 1, 1, 44
5100.0, 3564.295098249941, 3458.7278927299653, 2823.0255038824334, 16.131574307868167, 19058.16337159958, 5, 2, 1, 5, 12, 16, 1, 0, 1, 45
5200.0, 3647.2514704823043, 3517.8739379970752, 2878.377859794852, 16.4478734845105, 19543.92230410918, 5, 2, 1, 5, 12, 16, 1, 0, 1, 45
5300.0, 3730.3996118100235, 3577.0010873995193, 2933.730215707271, 16.76417266115283, 20031.572956792592, 5, 1, 2, 5, 12, 16, 1, 0, 1, 45
5400.0, 3813.739601518061, 3636.1175145355355, 2989.0825716196896, 17.080471837795162, 20521.108144990547, 5, 0, 3, 5, 12, 16, 0, 1, 1, 45
5500.0, 3897.2714576644858, 3695.2267059647356, 3044.4349275321083, 17.396771014437494, 21012.523416311215, 5, 0, 3, 5, 12, 16, 0, 1, 1, 45
5600.0, 3980.9951894684837, 3754.3316319642877, 3099.787283444527, 17.713070191079826, 21505.81595529792, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
5700.0, 4064.9108188066202, 3813.4337893381285, 3155.1396393569457, 18.029369367722158, 22000.98403235331, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
5800.0, 4149.0183523858595, 3872.5342857211353, 3210.4919952693645, 18.34566854436449, 22498.026559999857, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
5900.0, 4233.317792945344, 3931.6337384627377, 3265.844351181783, 18.66196772100682, 22996.94287576117, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
6000.0, 4317.809143215365, 3990.7325679734217, 3321.196707094202, 18.978266897649153, 23497.732570341293, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
6100.0, 4402.4924024963475, 4049.8310221168003, 3376.5490630066206, 19.294566074291485, 24000.39539967072, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
6200.0, 4487.367570186305, 4108.929261714935, 3431.9014189190393, 19.610865250933816, 24504.931219164962, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
6300.0, 4572.434646292681, 4168.027384143093, 3487.253774831458, 19.927164427576148, 25011.339948052984, 5, 0, 3, 5, 12, 16, 0, 1, 0, 46
6400.0, 4657.693628894253, 4227.125450651536, 3542.6061307438767, 20.24346360421848, 25519.62154421015, 5, 0, 2, 6, 12, 16, 0, 0, 1, 46
6500.0, 4743.1445150272375, 4286.223498487053, 3597.9584866562955, 20.55976278086081, 26029.775989811802, 5, 0, 2, 6, 12, 16, 0, 0, 1, 46
6600.0, 4828.787304658679, 4345.321550393641, 3653.310842568714, 20.876061957503143, 26541.803281663888, 5, 0, 2, 6, 12, 16, 0, 0, 1, 46
6700.0, 4914.621996367744, 4404.41961990559, 3708.663198481133, 21.192361134145475, 27055.70342549885, 5, 0, 2, 6, 12, 16, 0, 0, 1, 46
6800.0, 5000.648587308495, 4463.517714857901, 3764.0155543935516, 21.508660310787807, 27571.476432258256, 5, 0, 2, 6, 12, 15, 1, 0, 1, 46
6900.0, 5086.831900152642, 4522.615839550796, 3819.3679103059703, 21.82495948743014, 28089.12231585589, 5, 0, 2, 6, 12, 15, 1, 0, 1, 46
7000.0, 5173.08245252776, 4581.713996092595, 3874.720266218389, 22.14125866407247, 28608.641091758447, 5, 0, 1, 7, 12, 14, 0, 2, 1, 46
7100.0, 5259.39505247371, 4640.812185258314, 3930.0726221308078, 22.457557840714802, 29130.032776127933, 5, 0, 1, 6, 13, 14, 0, 0, 3, 46
7200.0, 5345.769699800145, 4699.910407010832, 3985.4249780432265, 22.773857017357134, 29653.297385292328, 5, 0, 1, 6, 13, 14, 0, 0, 1, 48
7300.0, 5432.206395484309, 4759.008660835665, 4040.777333955645, 23.090156193999466, 30178.43493543139, 5, 0, 1, 6, 13, 14, 0, 0, 1, 48
7400.0, 5518.714791529428, 4818.106945943051, 4096.129689868063, 23.406455370641797, 30705.445442391858, 5, 0, 0, 7, 13, 13, 1, 0, 1, 48
7500.0, 5605.315460729303, 4877.205261396376, 4151.482045780027, 23.72275454728413, 31234.328921584914, 5, 0, 0, 6, 14, 13, 0, 0, 2, 48
7600.0, 5692.008433152037, 4936.303606189271, 4206.834401691991, 24.03905372392646, 31765.08538793336, 5, 0, 0, 6, 14, 13, 0, 0, 1, 49
7700.0, 5778.774558717246, 4994.974575574279, 4262.186757603955, 24.355352900568793, 32297.68730790644, 4, 0, 0, 6, 15, 12, 0, 0, 1, 50
7800.0, 5865.604710402148, 5052.351788788749, 4317.539113515919, 24.671652077211125, 32831.555645619665, 4, 0, 0, 6, 15, 12, 0, 0, 1, 50
7900.0, 5952.475283732675, 5109.278839136457, 4372.891469427883, 24.987951253853456, 33366.31613771597, 4, 0, 0, 5, 16, 12, 0, 0, 0, 51
8000.0, 6039.3786359140895, 5166.0938178624965, 4428.243825339847, 25.304250430495788, 33901.843133194816, 4, 0, 0, 5, 16, 12, 0, 0, 0, 51
8100.0, 6126.310008842397, 5222.805277177091, 4483.596181251811, 25.62054960713812, 34438.068036524055, 4, 0, 0, 5, 16, 12, 0, 0, 0, 51
8200.0, 6213.26687400465, 5279.470448991722, 4538.948537163775, 25.93684878378045, 34974.959777532065, 4, 0, 0, 5, 16, 12, 0, 0, 0, 51
8300.0, 6300.247339280001, 5336.101327513169, 4594.300893075739, 26.253147960422783, 35512.49914572015, 4, 0, 0, 5, 16, 12, 0, 0, 0, 51
8400.0, 6387.250121299778, 5392.709608247703, 4649.653248987703, 26.569447137065115, 36050.671971542455, 4, 0, 0, 5, 16, 11, 1, 0, 0, 51
8500.0, 6474.274323578731, 5449.301583229103, 4705.005604899667, 26.885746313707447, 36589.46841947259, 4, 0, 0, 5, 16, 11, 1, 0, 0, 51
8600.0, 6561.319313171036, 5505.881997852451, 4760.357960811631, 27.20204549034978, 37128.88154907703, 4, 0, 0, 4, 17, 10, 1, 1, 0, 51
8700.0, 6648.297571302455, 5562.397711797735, 4815.654964367683, 27.518028367815468, 37668.366211091176, 4, 0, 0, 3, 18, 10, 1, 1, 0, 51
