time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.08422166962297861, 0.05554136321346425, 0.055352355912251586, 0.0003162991766414373, 0.5154099812365132, 4, 0, 0, 1, 19, 6, 0, 1, 0, 50
100.0, 84.22283513418978, 51.93720370252482, 55.40770826816248, 0.31661547581808364, 515.0567112904736, 4, 0, 0, 1, 19, 6, 0, 0, 1, 50
200.0, 168.17593348292624, 103.81942893935175, 110.76006418041067, 0.6329146524595272, 1027.8629452566665, 4, 0, 0, 1, 19, 6, 0, 0, 1, 50
300.0, 251.94293607867914, 155.7016608680422, 166.11242009265885, 0.9492138291009707, 1538.9341155666273, 3, 1, 0, 1, 19, 5, 1, 0, 2, 49
400.0, 335.52384304069324, 207.58389932611612, 221.46477600490704, 1.2655130057424142, 2048.2702255254167, 3, 1, 0, 1, 19, 5, 1, 0, 1, 50
500.0, 418.9186544853515, 259.4661441563143, 276.8171319171552, 1.5818121823838578, 2555.871278358164, 3, 0, 1, 1, 19, 5, 0, 1, 1, 50
600.0, 502.1273705262449, 311.3483952063862, 332.1694878294034, 1.8981113590253014, 3061.7372772126123, 3, 0, 1, 1, 19, 5, 0, 0, 2, 50
700.0, 585.1499912743029, 363.2306523288943, 387.5218437416516, 2.2144105356667447, 3565.8682251616583, 3, 0, 1, 0, 20, 5, 0, 1, 0, 51
800.0, 667.9865168378351, 415.1129153810275, 442.8741996538998, 2.5307097123081883, 4068.264125205563, 3, 0, 1, 0, 20, 5, 0, 1, 0, 51
900.0, 750.6369473226273, 466.9951842244142, 498.22655556614797, 2.847008888949632, 4568.924980274314, 3, 0, 1, 0, 20, 5, 1, 0, 0, 51
1000.0, 833.1012828320293, 518.8774587249487, 553.5789114784388, 3.1633080655910755, 5067.850793229796, 3, 0, 1, 0, 20, 5, 1, 0, 0, 51
1100.0, 915.3795234670182, 570.7597387526577, 608.9312673907439, 3.479607242232519, 5565.041566867894, 3, 0, 1, 0, 20, 5, 1, 0, 0, 51
1200.0, 997.4716693262776, 622.6420241815074, 664.2836233030489, 3.7959064188739626, 6060.497303920505, 3, 0, 1, 0, 20, 6, 0, 0, 1, 50
1300.0, 1079.3777205062524, 674.5243148892681, 719.6359792153539, 4.112205595515406, 6554.218007057434, 3, 0, 1, 0, 20, 6, 0, 0, 1, 50
1400.0, 1161.0976771012272, 726.4066107573718, 774.988335127659, 4.42850477215685, 7046.203678888296, 3, 0, 1, 0, 20, 6, 0, 0, 1, 50
1500.0, 1242.6315392034167, 778.2889116707752, 830.340691039964, 4.744803948798293, 7536.454321964349, 3, 0, 1, 0, 20, 6, 0, 1, 0, 50
1600.0, 1323.9793069029786, 830.1712175178242, 885.693046952269, 5.061103125439737, 8024.969938780184, 3, 0, 1, 0, 20, 6, 1, 0, 0, 50
1700.0, 1405.1530739730938, 882.0537407752098, 941.045402864574, 5.3774023020811805, 8511.750534962683, 3, 0, 1, 0, 20, 6, 1, 0, 0, 50
1800.0, 1486.217260706206, 934.2040497776751, 996.3977587768791, 5.693701478722624, 8996.842151043127, 3, 0, 1, 0, 20, 7, 0, 0, 0, 50
1900.0, 1567.2056888287007, 986.9679540690646, 1051.750114689127, 6.010000655364068, 9480.490660942924, 3, 0, 1, 0, 20, 7, 0, 0, 0, 50
2000.0, 1648.1301811383591, 1040.056060371645, 1107.1024706013184, 6.326299832005511, 9962.929383622377, 3, 0, 1, 0, 20, 7, 0, 0, 0, 50
2040.0, 1680.4032896119659, 1061.3075177929811, 1129.1880606102827, 6.452503203485447, 10155.118339171024, 3, 0, 1, 0, 20, 7, 0, 0, 0, 50
