time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.036470348561835945, 0.08125, 0.055352355912251586, 0.0003162991766414373, 0.1669703748440148, 20, 4, 0, 1, 0, 29, 11, 20, 3, 0
100.0, 39.30202395571794, 81.30967287879432, 55.40770826816248, 0.31661547581808364, 173.60654006726003, 18, 5, 2, 0, 0, 37, 8, 4, 7, 7
200.0, 82.56633174364664, 162.554691437911, 110.76006418041067, 0.6329146524595272, 359.9947688022805, 17, 4, 4, 0, 0, 38, 6, 1, 7, 11
300.0, 127.82711657925776, 243.7954289872771, 166.11242009265885, 0.9492138291009707, 559.3283646184832, 18, 3, 3, 1, 0, 38, 6, 0, 5, 14
400.0, 174.20792360429522, 325.01988746740716, 221.46477600490704, 1.2655130057424142, 771.6055512528288, 18, 3, 3, 1, 0, 41, 2, 1, 3, 16
500.0, 220.47392607011855, 405.3419129471326, 276.8171319171552, 1.5818121823838578, 996.6385046790513, 18, 2, 4, 1, 0, 40, 3, 1, 2, 17
600.0, 266.28846894764166, 484.3394401402298, 332.1694878294034, 1.8981113590253014, 1233.8745818440855, 17, 2, 3, 3, 0, 39, 2, 1, 3, 18
700.0, 312.1371934417997, 560.9734701825639, 387.5218437416516, 2.2144105356667447, 1482.294162827525, 13, 4, 3, 3, 2, 34, 5, 0, 3, 21
800.0, 359.72073285858875, 636.8035473383551, 442.8741996538998, 2.5307097123081883, 1741.1539383665997, 13, 3, 4, 2, 3, 34, 3, 2, 2, 22
900.0, 409.0167023390563, 711.4111993057662, 498.22655556614797, 2.847008888949632, 2009.9366875207515, 13, 2, 3, 3, 4, 33, 1, 1, 6, 22
1000.0, 460.0601099866993, 785.351382801959, 553.5789114784388, 3.1633080655910755, 2288.191649265735, 13, 0, 5, 3, 4, 32, 2, 0, 4, 25
1100.0, 512.9230982438478, 858.1010553162446, 608.9312673907439, 3.479607242232519, 2575.421795305506, 13, 0, 5, 1, 6, 32, 1, 1, 2, 27
1200.0, 567.6933636453762, 930.2656592120179, 664.2836233030489, 3.7959064188739626, 2871.1863016891402, 12, 1, 5, 1, 6, 32, 1, 0, 1, 29
1300.0, 624.5351358783279, 1002.074831753817, 719.6359792153539, 4.112205595515406, 3175.2714159125953, 11, 2, 5, 1, 6, 31, 2, 0, 0, 30
1400.0, 683.5006357658577, 1073.5540236306456, 774.988335127659, 4.42850477215685, 3487.4933852957506, 11, 1, 6, 1, 6, 31, 1, 1, 0, 30
1500.0, 744.6194559475688, 1144.8470455698891, 830.340691039964, 4.744803948798293, 3807.7279537050727, 11, 1, 4, 3, 6, 31, 1, 0, 1, 30
1600.0, 807.7907265196893, 1216.013051905985, 885.693046952269, 5.061103125439737, 4135.900514416137, 11, 1, 4, 3, 6, 30, 1, 1, 1, 30
1700.0, 872.7840918080178, 1287.0844376442158, 941.045402864574, 5.3774023020811805, 4471.95557211172, 11, 1, 1, 5, 7, 29, 1, 0, 0, 33
1800.0, 939.4565158817885, 1357.7049836011274, 996.3977587768791, 5.693701478722624, 4815.792625914619, 11, 1, 1, 5, 7, 28, 1, 0, 1, 33
1900.0, 1007.1941923649152, 1427.9643028781234, 1051.750114689127, 6.010000655364068, 5167.1361040186075, 11, 1, 1, 5, 7, 27, 2, 0, 0, 34
2000.0, 1075.8224549062625, 1497.7513135226175, 1107.1024706013184, 6.326299832005511, 5525.879436696592, 10, 2, 1, 5, 7, 27, 1, 0, 1, 34
2100.0, 1145.353106471351, 1566.7240190521018, 1162.4548265135097, 6.642599008646955, 5891.573653322831, 10, 2, 1, 5, 7, 27, 1, 0, 0, 35
2200.0, 1215.796574554109, 1635.1172879209778, 1217.807182425701, 6.958898185288398, 6263.951391743724, 9, 3, 1, 5, 7, 26, 1, 1, 0, 35
2300.0, 1287.1080846015366, 1702.6681463700843, 1273.1595383378924, 7.275197361929842, 6642.649375874658, 9, 2, 2, 5, 7, 26, 0, 2, 0, 35
2400.0, 1359.2507692051395, 1769.7482142113806, 1328.5118942500837, 7.591496538571286, 7027.318588830181, 8, 3, 1, 6, 7, 25, 1, 0, 2, 35
2500.0, 1432.321492057278, 1836.300724941963, 1383.864250162275, 7.907795715212729, 7417.725241786437, 8, 2, 2, 5, 8, 24, 2, 0, 1, 36
2600.0, 1506.170407253464, 1902.4565292792643, 1439.2166060744664, 8.224094891853543, 7813.61737379476, 7, 2, 3, 5, 8, 23, 2, 0, 1, 37
2700.0, 1580.7337095358528, 1968.2939648861438, 1494.5689619866578, 8.540394068494098, 8214.833787146474, 7, 2, 3, 5, 8, 23, 1, 0, 2, 37
2800.0, 1656.0146479229893, 2033.852870679374, 1549.921317898849, 8.856693245134654, 8621.215099531219, 7, 1, 3, 6, 8, 23, 1, 0, 0, 39
2900.0, 1732.0150264375543, 2099.2206859834346, 1605.2736738110405, 9.17299242177521, 9032.652812053038, 7, 1, 3, 6, 8, 23, 1, 0, 0, 39
3000.0, 1808.7353463803886, 2164.4065619531057, 1660.6260297232318, 9.489291598415765, 9449.050589778788, 7, 0, 4, 6, 8, 23, 0, 1, 0, 39
3100.0, 1886.1798429347357, 2229.4201675898726, 1715.9783856354231, 9.80559077505632, 9870.321580822667, 7, 0, 4, 6, 8, 23, 0, 1, 0, 39
3200.0, 1964.3678114052223, 2294.3152108278314, 1771.3307415476145, 10.121889951696875, 10296.391592353883, 7, 0, 4, 5, 9, 21, 1, 1, 0, 40
3300.0, 2043.0207322344927, 2359.053725676816, 1826.6830974598058, 10.43818912833743, 10727.207197452519, 7, 0, 4, 5, 9, 20, 1, 2, 0, 40
3400.0, 2122.0101190371156, 2423.0225791235343, 1882.0354533719972, 10.754488304977986, 11162.551887134314, 7, 0, 4, 4, 10, 20, 0, 1, 2, 40
3500.0, 2201.315187277882, 2486.320207425368, 1937.3878092841885, 11.070787481618542, 11601.999384464707, 7, 0, 3, 5, 10, 20, 0, 0, 1, 42
3600.0, 2280.919962072638, 2549.292852132624, 1992.7401651963798, 11.387086658259097, 12045.339973994533, 7, 0, 3, 5, 10, 20, 0, 0, 1, 42
3700.0, 2360.8085615480436, 2612.162052559037, 2048.0925211085714, 11.703385834899652, 12492.458524330039, 6, 1, 3, 5, 10, 19, 1, 0, 1, 42
3800.0, 2440.973944389708, 2674.949354798176, 2103.44487702099, 12.019685011540208, 12943.313051748786, 6, 1, 3, 5, 10, 19, 0, 1, 1, 42
3900.0, 2521.4122353045896, 2737.7101057530817, 2158.797232933409, 12.335984188180763, 13397.87774830509, 6, 1, 3, 5, 10, 19, 0, 0, 2, 42
4000.0, 2602.096019175169, 2800.45311144129, 2214.1495888458276, 12.652283364821319, 13856.141422512868, 6, 0, 4, 5, 10, 19, 0, 0, 2, 42
4100.0, 2682.993334753077, 2863.1908014732576, 2269.5019447582463, 12.968582541461874, 14318.098977031726, 6, 0, 4, 5, 10, 18, 1, 0, 1, 43
