time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.08057519968620831, 0.06956897008127132, 0.055352355912251586, 0.0003162991766414373, 0.5240585365757484, 10, 2, 0, 0, 18, 28, 0, 0, 0, 52
100.0, 80.49610590009051, 75.51880566282917, 55.40770826816248, 0.31661547581808364, 529.7302596602876, 7, 2, 2, 0, 19, 22, 3, 0, 1, 54
200.0, 161.0449648158544, 152.37852211068468, 110.76006418041067, 0.6329146524595272, 1069.113241920014, 5, 2, 2, 0, 21, 19, 2, 0, 0, 59
300.0, 242.11586318652496, 229.87119833685253, 166.11242009265885, 0.9492138291009707, 1619.5738491778607, 5, 2, 1, 1, 21, 19, 1, 0, 0, 60
400.0, 323.5269312038623, 303.01759713771816, 221.46477600490704, 1.2655130057424142, 2180.2002817373727, 4, 1, 1, 2, 22, 18, 0, 1, 0, 61
500.0, 405.3025944929631, 373.8683071733042, 276.8171319171552, 1.5818121823838578, 2748.912356183625, 4, 1, 1, 2, 22, 16, 2, 0, 1, 61
600.0, 487.46780532676127, 444.49830361308545, 332.1694878294034, 1.8981113590253014, 3325.3201857100803, 4, 1, 0, 3, 22, 15, 1, 0, 1, 63
700.0, 570.0083592072364, 515.1310609452505, 387.5218437416516, 2.2144105356667447, 3909.3581550847603, 4, 1, 0, 3, 22, 15, 1, 0, 0, 64
800.0, 652.9086775925597, 583.557526419779, 442.8741996538998, 2.5307097123081883, 4500.530607466904, 4, 1, 0, 3, 22, 15, 0, 1, 0, 64
900.0, 736.1520755247793, 649.9499489347123, 498.22655556614797, 2.847008888949632, 5097.790785878164, 3, 1, 0, 3, 23, 13, 1, 0, 1, 65
1000.0, 819.7288790390197, 715.0428360920765, 553.5789114784388, 3.1633080655910755, 5700.1715660568925, 3, 1, 0, 3, 23, 13, 0, 1, 1, 65
1100.0, 903.6323708343361, 779.594854844727, 608.9312673907439, 3.479607242232519, 6307.272407990766, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1200.0, 987.8602727898276, 843.8957561726943, 664.2836233030489, 3.7959064188739626, 6918.901999830776, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1300.0, 1072.4116400017328, 908.0810735166202, 719.6359792153539, 4.112205595515406, 7534.973021379673, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1400.0, 1157.2860037449302, 972.2163278845808, 774.988335127659, 4.42850477215685, 8155.446304927834, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1500.0, 1242.483155620883, 1036.3286725057085, 830.340691039964, 4.744803948798293, 8780.304520933469, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1600.0, 1328.0029940151003, 1100.4311121868652, 885.693046952269, 5.061103125439737, 9409.53991636379, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1700.0, 1413.849108567304, 1164.5292021933099, 941.045402864574, 5.3774023020811805, 10043.149106807577, 3, 1, 0, 2, 24, 13, 0, 0, 0, 67
1800.0, 1500.0643224063904, 1228.625539577319, 996.3977587768791, 5.693701478722624, 10681.130659959073, 3, 1, 0, 2, 24, 12, 1, 0, 0, 67
1860.0, 1551.890217846724, 1267.0188950877907, 1029.5538199683383, 5.883164685530849, 11065.375283654805, 3, 1, 0, 2, 24, 12, 1, 0, 0, 67
