time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.08059004547880454, 0.0694893387253814, 0.055352355912251586, 0.0003162991766414373, 0.5244814207205097, 10, 2, 0, 0, 18, 28, 0, 0, 0, 52
10.0, 8.13928050220986, 7.689288229428492, 5.5905879471374185, 0.03194621684078512, 53.02530873875912, 9, 2, 0, 1, 18, 27, 0, 0, 1, 52
20.0, 16.197322807475445, 15.330646326080053, 11.125823538362592, 0.06357613450492881, 105.63061688052338, 9, 2, 0, 0, 19, 26, 1, 0, 0, 53
30.0, 24.252978656319193, 23.003921385643594, 16.661059129587766, 0.09520605216907317, 158.34229689180364, 8, 3, 0, 0, 19, 25, 1, 1, 0, 53
40.0, 32.30356891330074, 30.65527848367076, 22.19629472081294, 0.12683596983321752, 211.16023490667075, 8, 3, 0, 0, 19, 25, 1, 0, 1, 53
50.0, 40.349136999006504, 38.33312656450234, 27.731530312038114, 0.15846588749736187, 264.08468448871685, 7, 4, 0, 0, 19, 25, 0, 1, 0, 54
60.0, 48.38995611230418, 45.94289203393811, 33.266765903263206, 0.19009580516150623, 317.11567684526227, 7, 4, 0, 0, 19, 25, 0, 0, 1, 54
70.0, 56.42507508648361, 53.34914310462451, 38.802001494488024, 0.2217257228256506, 370.2441738424434, 7, 3, 1, 0, 19, 24, 1, 0, 1, 54
80.0, 64.45722193919117, 60.764214099364985, 44.33723708571284, 0.2533556404897949, 423.46636881896325, 7, 3, 1, 0, 19, 23, 2, 0, 1, 54
90.0, 72.48717346511246, 68.2033639069788, 49.87247267693766, 0.2849855581539393, 476.7830587244265, 7, 3, 1, 0, 19, 23, 2, 0, 1, 54
100.0, 80.51645121519334, 75.69737187438874, 55.40770826816248, 0.31661547581808364, 530.196227171168, 7, 3, 1, 0, 19, 23, 2, 0, 1, 54
110.0, 88.55050512476954, 83.25564018224743, 60.9429438593873, 0.348245393482228, 583.7089708662105, 7, 2, 2, 0, 19, 23, 1, 2, 0, 54
120.0, 96.59159848642363, 90.87163791367935, 66.47817945061212, 0.37987531114637235, 637.3243670027867, 7, 2, 2, 1, 18, 23, 1, 2, 0, 54
130.0, 104.64018954507453, 98.45386275407313, 72.01341504183694, 0.4115052288105167, 691.0434498792766, 7, 2, 2, 1, 18, 23, 0, 3, 0, 54
140.0, 112.69643769110593, 106.06185272227818, 77.54865063306175, 0.44313514647466107, 744.8649893003899, 7, 2, 2, 1, 18, 22, 2, 1, 1, 54
150.0, 120.76021842706803, 113.72629451298502, 83.08388622428657, 0.4747650641388054, 798.7916341349759, 5, 4, 2, 1, 18, 20, 4, 0, 2, 54
160.0, 128.83152712259263, 121.43590272803694, 88.61912181551139, 0.5063949818029497, 852.8259300938006, 5, 2, 4, 1, 18, 20, 1, 3, 2, 54
170.0, 136.9079446751203, 129.17783061105197, 94.15435740673621, 0.5380248994670941, 906.969817117719, 5, 2, 2, 2, 19, 20, 1, 0, 4, 55
180.0, 144.98850435571325, 136.93884230840163, 99.68959299796103, 0.5696548171312384, 961.2245721506847, 5, 2, 2, 2, 19, 20, 1, 0, 3, 56
190.0, 153.07310979098756, 144.70861656376928, 105.22482858918585, 0.6012847347953828, 1015.5908725038757, 5, 2, 2, 0, 21, 19, 2, 0, 0, 59
200.0, 161.1617211498501, 152.47295753928398, 110.76006418041067, 0.6329146524595272, 1070.068868954385, 5, 2, 2, 0, 21, 19, 1, 1, 0, 59
210.0, 169.25348743848184, 160.2018408705327, 116.29529977163548, 0.6645445701236715, 1124.6574999731897, 5, 2, 2, 0, 21, 19, 1, 0, 1, 59
220.0, 177.34767040436802, 167.90804613822803, 121.8305353628603, 0.6961744877878159, 1179.3551230635362, 5, 2, 1, 1, 21, 19, 1, 0, 0, 60
230.0, 185.44451605554391, 175.60161941095393, 127.36577095408512, 0.7278044054519602, 1234.1609995140825, 5, 2, 1, 1, 21, 19, 1, 0, 0, 60
240.0, 193.54426734883734, 183.28091988121454, 132.90100654530994, 0.7594343231161046, 1289.074405257225, 5, 2, 1, 1, 21, 19, 1, 0, 0, 60
250.0, 201.64692852413836, 190.9554746812139, 138.43624213653476, 0.791064240780249, 1344.0948607309876, 5, 2, 1, 1, 21, 19, 1, 0, 0, 60
260.0, 209.7524680284604, 198.62176309455901, 143.97147772775958, 0.8226941584443933, 1399.2221522388231, 5, 2, 1, 1, 21, 19, 1, 0, 0, 60
270.0, 217.86088434205482, 206.24923623706775, 149.5067133189844, 0.8543240761085377, 1454.4551406977084, 5, 2, 0, 2, 21, 19, 1, 0, 0, 60
280.0, 225.97220422959757, 213.83035812040205, 155.04194891020921, 0.885953993772682, 1509.7915481006346, 5, 2, 0, 2, 21, 19, 1, 0, 0, 60
290.0, 234.08637716474422, 221.3664228256828, 160.57718450143403, 0.9175839114368264, 1565.2290922619163, 5, 2, 0, 2, 21, 19, 1, 0, 0, 60
300.0, 242.20332326939686, 228.87052776101368, 166.11242009265885, 0.9492138291009707, 1620.765822211127, 5, 2, 0, 2, 21, 19, 1, 0, 0, 60
310.0, 250.32298440052122, 236.3352808527028, 171.64765568388367, 0.9808437467651151, 1676.4000947156123, 5, 2, 0, 2, 21, 18, 2, 0, 0, 60
320.0, 258.4453361042735, 243.75176944733363, 177.1828912751085, 1.0124736644292593, 1732.1295819700777, 5, 2, 0, 2, 21, 18, 2, 0, 0, 60
330.0, 266.57037334985847, 251.13678673093256, 182.7181268663333, 1.0441035820934037, 1787.9522665740058, 5, 2, 0, 2, 21, 18, 2, 0, 0, 60
340.0, 274.69808881198696, 258.44934376234323, 188.25336245755813, 1.075733499757548, 1843.8663073639407, 5, 2, 0, 2, 21, 18, 2, 0, 0, 60
350.0, 282.82842893589947, 265.62277219577425, 193.78859804878294, 1.1073634174216924, 1899.8650720903188, 4, 2, 1, 2, 21, 17, 2, 1, 0, 60
360.0, 290.9613372041916, 272.7674717694789, 199.32383364000776, 1.1389933350858368, 1955.944982761557, 4, 2, 0, 2, 22, 17, 2, 0, 0, 61
370.0, 299.0967638810276, 279.87970650041075, 204.85906923123258, 1.1706232527499811, 2012.1045408461255, 4, 2, 0, 2, 22, 17, 2, 0, 0, 61
380.0, 307.2347557698518, 286.9724232416166, 210.3943048224574, 1.2022531704141255, 2068.342379553657, 4, 2, 0, 2, 22, 17, 2, 0, 0, 61
390.0, 315.3753687045061, 294.05793172852646, 215.92954041368222, 1.2338830880782699, 2124.65788595854, 4, 2, 0, 2, 22, 17, 2, 0, 0, 61
400.0, 323.5187217638989, 301.1388477140714, 221.46477600490704, 1.2655130057424142, 2181.050786843462, 4, 2, 0, 2, 22, 17, 2, 0, 0, 61
410.0, 331.66494964593426, 308.21613734038897, 227.00001159613186, 1.2971429234065586, 2237.520874658121, 4, 1, 1, 2, 22, 17, 2, 0, 0, 61
420.0, 339.81436988401475, 315.29121636067003, 232.53524718735667, 1.328772841070703, 2294.068003831491, 4, 1, 1, 2, 22, 17, 2, 0, 0, 61
430.0, 347.96720017254813, 322.36511428757774, 238.0704827785815, 1.3604027587348473, 2350.6920921331334, 4, 1, 1, 2, 22, 17, 2, 0, 0, 61
440.0, 356.1234283680851, 329.4385707641167, 243.6057183698063, 1.3920326763989916, 2407.3930991958205, 4, 1, 1, 2, 22, 17, 2, 0, 0, 61
450.0, 364.2830576175947, 336.5123524908289, 249.14095396103113, 1.423662594063136, 2464.1710226731225, 4, 1, 1, 2, 22, 17, 2, 0, 0, 61
460.0, 372.4460878412145, 343.5868110954185, 254.67618955225595, 1.4552925117272804, 2521.0258907315674, 4, 1, 1, 2, 22, 16, 2, 1, 0, 61
470.0, 380.612514001918, 350.66146910599144, 260.21142514348077, 1.4869224293914247, 2577.957728617305, 4, 1, 1, 2, 22, 15, 2, 2, 0, 61
480.0, 388.7823212632137, 357.7352528185297, 265.7466607347056, 1.518552347055569, 2634.9665204869348, 4, 1, 1, 2, 22, 15, 2, 2, 0, 61
490.0, 396.95548142918676, 364.8070089668521, 271.2818963259304, 1.5501822647197134, 2692.0521932710317, 4, 1, 1, 2, 22, 15, 2, 2, 0, 61
500.0, 405.1319519630509, 371.8754840998167, 276.8171319171552, 1.5818121823838578, 2749.2146151945526, 4, 1, 1, 2, 22, 15, 2, 2, 0, 61
510.0, 413.31167580430173, 378.93921060077446, 282.35236750838004, 1.6134421000480021, 2806.4535847308366, 4, 1, 1, 2, 22, 15, 2, 2, 0, 61
520.0, 421.49464589667883, 385.99761551083145, 287.88760309960486, 1.6450720177121465, 2863.768842919554, 4, 1, 1, 2, 22, 15, 2, 2, 0, 61
530.0, 429.68085018228504, 393.0520161054889, 293.4228386908297, 1.6767019353762909, 2921.1601497612824, 4, 1, 1, 2, 22, 15, 0, 4, 0, 61
540.0, 437.8702497056713, 400.1045867353558, 298.9580742820545, 1.7083318530404352, 2978.627360194568, 4, 1, 1, 2, 22, 15, 0, 3, 1, 61
550.0, 446.0628248825452, 407.1568781565443, 304.4933098732793, 1.7399617707045796, 3036.1704259121198, 4, 1, 1, 2, 22, 15, 0, 2, 2, 61
560.0, 454.25857053267197, 414.2095811211298, 310.02854546450413, 1.771591688368724, 3093.7893531906584, 4, 1, 1, 2, 22, 15, 0, 2, 2, 61
570.0, 462.4574907369966, 421.26294009498037, 315.56378105572895, 1.8032216060328683, 3151.4841698209284, 4, 1, 0, 3, 22, 15, 0, 2, 1, 62
580.0, 470.65959505081287, 428.31705768130564, 321.09901664695377, 1.8348515236970127, 3209.254911446573, 4, 1, 0, 3, 22, 15, 0, 2, 1, 62
590.0, 478.864894394426, 435.3720064368151, 326.6342522381786, 1.866481441361157, 3267.101617880242, 4, 1, 0, 3, 22, 15, 0, 1, 1, 63
