time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.08090634465544597, 0.0694893387253814, 0.11070471182450317, 0.0006325983532828746, 0.5244814207205097, 10, 2, 0, 0, 18, 28, 0, 0, 0, 52
100.0, 78.8117377710879, 75.6431101474101, 70.26479030727795, 0.2813086194418705, 526.6561130790088, 7, 3, 1, 0, 19, 23, 2, 0, 1, 54
200.0, 154.29866315210722, 152.430419220687, 139.70923475172322, 0.559086397219648, 1055.9295825802856, 5, 2, 2, 0, 21, 20, 1, 0, 1, 58
300.0, 226.55804491348076, 228.79087033646695, 209.1536791961803, 0.8368641749974692, 1588.991727706263, 5, 2, 0, 2, 21, 20, 0, 0, 0, 60
400.0, 295.55175067723667, 300.95813194753055, 278.59812364063737, 1.1146419527752904, 2124.554185897123, 4, 2, 0, 2, 22, 17, 2, 0, 1, 60
500.0, 361.3252387917436, 371.5840139825125, 348.04256808509444, 1.3924197305531116, 2660.898419726445, 4, 1, 1, 2, 22, 14, 5, 0, 1, 60
600.0, 424.16470956796064, 442.09530745474996, 417.4870125295515, 1.6701975083309328, 3197.790079166646, 4, 1, 0, 3, 22, 14, 1, 3, 0, 62
700.0, 484.5295567751936, 512.5804523062737, 486.9314569740086, 1.947975286108754, 3735.2242844686184, 3, 2, 0, 3, 22, 14, 0, 3, 1, 62
800.0, 542.8028002141643, 581.2924878826946, 556.3759014184657, 2.2257530638865752, 4272.805171482827, 3, 2, 0, 2, 23, 14, 1, 0, 4, 61
900.0, 599.2460891236075, 648.405942937728, 625.8203458629227, 2.5035308416643964, 4809.660135324375, 2, 2, 0, 2, 24, 13, 1, 0, 3, 63
1000.0, 654.0405728339003, 713.9078241410868, 695.2647903073798, 2.7813086194422176, 5344.859451722384, 2, 1, 1, 2, 24, 13, 1, 0, 2, 64
1100.0, 707.3181133448976, 778.866855592328, 764.7092347518369, 3.059086397220039, 5877.921915849143, 3, 0, 1, 2, 24, 13, 1, 0, 1, 65
1200.0, 759.2117662136416, 843.7164767073172, 834.153679196294, 3.33686417499786, 6408.709028748301, 3, 0, 1, 2, 24, 13, 1, 0, 1, 65
1300.0, 809.867819911675, 908.6103610816488, 903.598123640751, 3.6146419527756812, 6937.203888682303, 3, 0, 1, 2, 24, 13, 1, 1, 0, 65
1400.0, 859.4219416191075, 973.6459003495123, 973.0425680852081, 3.8924197305535024, 7463.456484154439, 3, 0, 1, 2, 24, 13, 1, 1, 1, 64
1500.0, 907.9904414907361, 1038.861023389682, 1042.487012529635, 4.170197508331324, 7987.5488343360585, 3, 0, 1, 2, 24, 13, 1, 1, 1, 64
1600.0, 955.6700436334642, 1104.2891432814163, 1111.9314569739784, 4.447975286109145, 8509.576737467352, 3, 0, 1, 2, 24, 13, 1, 1, 1, 64
1700.0, 1002.5463780559955, 1170.066162202238, 1181.3759014183217, 4.725753063886966, 9029.676896935127, 3, 0, 1, 2, 24, 13, 1, 1, 1, 64
1800.0, 1048.6953375850283, 1236.2987155030078, 1250.8203458626651, 5.003530841664787, 9548.055315646607, 3, 0, 1, 3, 23, 14, 0, 1, 1, 64
1860.0, 1076.0235369797726, 1276.194862455816, 1292.4175680848268, 5.169919730553702, 9857.83573560479, 3, 0, 1, 3, 23, 13, 2, 1, 0, 64
