time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.0781420811616644, 0.05990210009467528, 0.06388103149390208, 0.00029715150566734095, 0.6542116457689352, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
10.0, 7.891945164944015, 5.910139827402103, 6.452404516102404, 0.03001650027379814, 66.06178099460638, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
20.0, 15.70495393133402, 11.7606942500809, 12.840881865869102, 0.05973481106779193, 131.4424425978963, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
30.0, 23.517191555882413, 17.61165064371073, 19.229241317726206, 0.0894522683530175, 196.79622311450154, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
40.0, 31.328692409523963, 23.463123518684753, 25.61760076908283, 0.11916972563744802, 262.12314598471784, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
50.0, 39.139491185640885, 29.315256487453354, 32.005960220439455, 0.14888718292187852, 327.4232405256952, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
60.0, 46.949622626674596, 35.16822939425827, 38.394319671796076, 0.1786046402063096, 392.6965441327115, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
70.0, 54.759121075477644, 41.02203189188735, 44.7826791231527, 0.2083220974907415, 457.9431014880035, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
80.0, 62.568019672086166, 46.87366921190375, 51.171038574509325, 0.23803955477517338, 523.1629024219253, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
90.0, 70.37634919964319, 52.716377733862316, 57.559398025865946, 0.26775701205960484, 588.3556594953551, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
100.0, 78.18413531346732, 58.552706182437596, 63.94775747722257, 0.29747446934403604, 653.5209402637278, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
110.0, 85.99139466243646, 64.38955126012799, 70.33611692857919, 0.32719192662846724, 718.6586121801628, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
120.0, 93.79813545155709, 70.23033469266173, 76.7244763799358, 0.35690938391289845, 783.7687977227723, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
130.0, 101.60436324022605, 76.07627940553155, 83.11283583129241, 0.38662684119732965, 848.8517357380342, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
140.0, 109.41008610418717, 81.92725660682416, 89.50119528264904, 0.41634429848176085, 913.9076749295152, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
150.0, 117.21531643700008, 87.78680227763691, 95.88955473400566, 0.44606175576619206, 978.9369416640684, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
160.0, 125.02006994697025, 93.65705296294, 102.27791418536229, 0.47577921305062326, 1043.9400430964292, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
170.0, 132.82436318303934, 99.53410979546791, 108.66627363671891, 0.5054966703350545, 1108.917433700805, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
180.0, 140.62821199956153, 105.41494090099133, 115.05463308807553, 0.5352141276194857, 1173.8693520074485, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
190.0, 148.43163174784894, 111.30370371617069, 121.44299253943215, 0.5649315849039169, 1238.7960667402385, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
200.0, 156.2346384148664, 117.20629182266555, 127.83135199078879, 0.5946490421883481, 1303.698131656045, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
210.0, 164.03724909972243, 123.1257609472228, 134.2197114421454, 0.6243664994727793, 1368.5763268555095, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
220.0, 171.83948158515918, 129.06331008190764, 140.60807089350203, 0.6540839567572105, 1433.4315306172527, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
230.0, 179.6413538840342, 135.01967286798762, 146.99643034485865, 0.6838014140416417, 1498.26466621146, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
240.0, 187.44288413285278, 140.99536090551476, 153.3847897962139, 0.713518871326073, 1563.076688300194, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
250.0, 195.24409083661337, 146.99095414565164, 159.7731492475691, 0.7432363286105041, 1627.868575423748, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
260.0, 203.0449935605849, 153.00825314597947, 166.1615086989243, 0.7729537858949354, 1692.6413610336072, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
270.0, 210.84561384936964, 159.05054758535826, 172.5498681502795, 0.8026712431793666, 1757.3962098071604, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
280.0, 218.6459754713444, 165.12078434765982, 178.9382276016347, 0.8323887004637978, 1822.1344526039168, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
290.0, 226.44610322045492, 171.21942137598202, 185.3265870529899, 0.862106157748229, 1886.8575111362713, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
300.0, 234.24602063252158, 177.34382756189706, 191.7149465043451, 0.8918236150326602, 1951.5667508138156, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
310.0, 242.04574778067496, 183.4891861383006, 198.1033059557003, 0.9215410723170914, 2016.263344500866, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
320.0, 249.8453001329376, 189.65003879552503, 204.4916654070555, 0.9512585296015226, 2080.948201444421, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
330.0, 257.64468874317197, 195.82162076005693, 210.8800248584107, 0.9809759868859538, 2145.6219712702987, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
340.0, 265.4439213509006, 202.00044735357247, 217.2683843097659, 1.010693444170385, 2210.2850969778347, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
350.0, 273.2430036516321, 208.18420820116708, 223.6567437611211, 1.0404109014548162, 2274.9378782447125, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
360.0, 281.04194020085197, 214.37147550925351, 230.0451032124763, 1.0701283587392474, 2339.5805224567744, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
370.0, 288.84073485757995, 220.56158922119846, 236.4334626638315, 1.0998458160236786, 2404.2131850950495, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
380.0, 296.6393909785315, 226.75462280982168, 242.8218221151867, 1.1295632733081098, 2468.836007502145, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
390.0, 304.43791160356824, 232.9512033349884, 249.2101815665419, 1.159280730592541, 2533.4491498107586, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
400.0, 312.2362997129291, 239.15219446874005, 255.5985410178971, 1.1889981878769722, 2598.052810885561, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
410.0, 320.0345584826815, 245.3583903004245, 261.9869004692523, 1.2187156451614034, 2662.647232116523, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
420.0, 327.8326914447167, 251.57030986452722, 268.3752599206075, 1.2484331024458346, 2727.2326882596744, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
430.0, 335.63070252551336, 257.7881112694971, 274.7636193719627, 1.2781505597302658, 2791.809471022276, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
440.0, 343.42859599661995, 264.01161916834434, 281.1519788233179, 1.307868017014697, 2856.377871264362, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
450.0, 351.22637638719914, 270.2404488072416, 287.5403382746731, 1.3375854742991282, 2920.9381651074223, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
460.0, 359.02404840077577, 276.4741947017886, 293.9286977260283, 1.3673029315835483, 2985.490608054223, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
470.0, 366.82161686207286, 282.71262789903534, 300.3170571773835, 1.3970203888679684, 3050.035439050474, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
480.0, 374.61908670173614, 288.95582417712683, 306.7054166287387, 1.4267378461523885, 3114.572892998919, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
490.0, 382.41646296846494, 295.2041626564746, 313.0937760800939, 1.4564553034368086, 3179.103216546508, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
500.0, 390.21375084509, 301.45820414194964, 319.4821355314491, 1.4861727607212287, 3243.626680554869, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
510.0, 398.0109556459833, 307.71852339119243, 325.8704949828043, 1.5158902180056488, 3308.1435849601667, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
520.0, 405.80808278671685, 313.98556917943773, 332.2588544341595, 1.545607675290069, 3372.654255725513, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
530.0, 413.6051377291097, 320.25957941666934, 338.6472138855147, 1.575325132574489, 3437.1590361730887, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
540.0, 421.4021259055121, 326.54054259904615, 345.0355733368699, 1.6050425898589091, 3501.6582753069833, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
550.0, 429.1990526213141, 332.82819384007695, 351.4239327882251, 1.6347600471433292, 3566.1523151061892, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
560.0, 436.99592293635914, 339.1220456232345, 357.8122922395803, 1.6644775044277493, 3630.6414784771628, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
570.0, 444.7927415372288, 345.42145549496627, 364.2006516909355, 1.6941949617121697, 3695.1260596875336, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
580.0, 452.5895126244751, 351.72571888666, 370.5890111422907, 1.7239124189965898, 3759.6063189077736, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
590.0, 460.3862398410275, 358.0341596648668, 376.9773705936459, 1.7536298762810099, 3824.0824814656376, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
600.0, 468.1829262572629, 364.34619172295146, 383.3657300450011, 1.78334733356543, 3888.5547409795063, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
610.0, 475.97957441100294, 370.6613424716902, 389.7540894963563, 1.81306479084985, 3953.0232646028426, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
620.0, 483.77618638622056, 376.97924739299356, 396.1424489477115, 1.8427822481342702, 4017.4881986501628, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
630.0, 491.57276390828275, 383.2996316178887, 402.5308083990667, 1.8724997054186903, 4081.949673558222, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
640.0, 499.36930843649634, 389.6222913357588, 408.9191678504219, 1.9022171627031104, 4146.407807881504, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
650.0, 507.16582124294877, 395.9470812837127, 415.3075273017771, 1.9319346199875305, 4210.862711499781, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
660.0, 514.8843388004568, 402.2106300045508, 421.63200315861883, 1.9613549026991062, 4274.669985739199, 2, 0, 0, 0, 28, 3, 0, 0, 0, 73
